1	fantastic	outstanding	awesome	magnificent	marvelous	fabulous	fine	impressive	quality	tremendous	phenomenal	superb	terrific	amazing	wonderful	amusing	pretty	nice	good	exceptional	excellent	talented	great	splendid	brilliant	neat	interesting	commendable	greatest	finest	best	beautiful	lovely	wonderfully	brilliantly	superbly	beautifully	gorgeous	excellently	capably	masterfully	expertly	brilliantly	incredible																			
1	9/10	5/5	bomb/	4/5	8/10	7/10	10/10																																																								
1	vibrant	useful	concise	symbolic	logical	flattering	subtle	evocative	sensible	satisfying		nuanced	didactic	solemn	noteworthy	poetic	vital	compelling	comprehensible	reflective	factual	defining	personality	shakespearian	sophisticated	relevance	important	understandable	significant	symbolism	subtext	meaningful	eloquent		discernible	surprising	noticeable	profound	eerie	metaphysical	substantive	unpredictable	evident	insightful	valid	stimulating																	
1	masterwork	classic	tearjerker	rarity	hitchcock's	achievement	masterpiece	milestone	satyricon	gem																																																					
1	emotion	ingenuity	intelligence	heartfelt	emotive	delighted	intellectual	imagination	thoughtful	perceptive	sincerity		rewarded	satisfied	intellect	happiness	confidence	knowledge		pleased		erudite	tolerance	warmth	surprised	thrilled	sophistication			wisdom	melancholic		heartbreaking	entertained	amused	maturity	intrigued	humane	sensibility																								
0	lengthy	short	min	averaged	brief	long	hours	length	awaited	estimation	90+	runtime	segment																																																		
1	palatable	satisfactory		gr8	enjoyable	watchable		entertaining	introspective																																																						
1	ethic	dignity	aspiration	humility	commitment	loyalty	determination	ambition	dedication	fidelity	kindness	integrity	awareness	generosity	kindness	purity																																															
1	impressed	enthralled																																																													
1	laughing	laugh	laughed																																																												
1	goodness	tremendously	exceptionally	surprisingly	truly	refreshingly	remarkably	appraisal	piqued	genuinely	extraordinarily	amazingly	incredibly	extremely	exceptionally																																																
1	prowess	craftsmanship	talent	ability	weight	exuded	energy	creativity	gravitas	vocal	considerable	capability	professionalism	charisma	enthusiasm	resource	skill	versatility	flair																																												
1	enthusiast	devotee	avid	connoisseur	aficionado	sucker	purist	eurotrash	completist	btvs	fanatic	fan	admirer	diehard	hardcore	casta	buff																																														
1	optimism	reverence																																																													
1	sumptuous	symphonic	lush	composition	immaculate	textured		jaunty	exquisite																																																						
1	originality	believability	coherence																																																												
1	excitement	suspense																																																													
1	imaginative	inventive	innovative																																																												
1	engaging	intriguing	engrossing	uplifting																																																											
1	distraught	protective																																																													
1	astonished	astounded	amazed																																																												
1	hottest	sexiest																																																													
1	scenic	vista	panoramic																																																												
1	deftly	elegantly	delicately																																																												
1	pace	brisk	leisurely	snail																																																											
1	smartly	intelligently	skillfully	tautly																																																											
1	heartwarming	poignant	touching	bittersweet																																																											
1	goatee	retractable																																																													
1	exciting	thrilling																																																													
1	hysterical	hilarious																																																													
1	tomboy	outspoken	vivacious	aloof	dowager	saintly	gawky	fetching	suave	foxy	lusty	feisty	debonair		impulsive	timid	winsome	flirty	minnie	maximilian	virile	temperamental																																									
1	benefactor	malabar																																																													
1	reliable	dependable																																																													
1	tenderness	intimacy	sensitivity		gentleness	thoughtfulness																																																									
1	humor	humour																																																													
1	gorgeously	exquisitely	artfully																																																												
1	linden	sweetheart	fiancée																																																												
1	crackle	sparkling																																																													
1	favourite	fave	favorite																																																												
1	vulnerability	sweetness																																																													
1	compassion	passion	loveable	compassionate																																																											
1	convenience	grocery																																																													
1	athletic	agile																																																													
1	tighter	sharper																																																													
1	supremely	sublimely	marvelously	graceful	splendidly	adroitly																																																									
1	alluring	seductive																																																													
1	strongest	weakest																																																													
1	credible	believable	convincing	likeable	sympathetic	likable	likeable																																																								
